add_time,prod_color,prod_id,prod_name,prod_topic,prod_url,rate,rate_score,sale_num
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,车子小小的，非常合适我，红色黄色或者好看些,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,非常不错！实体店提车，价钱比实体店便宜，物超所值！,5,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,有点瑕疵，锁那里很松。然后电池用掉电很快。没有发票。上牌麻烦。,3,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,白色很好看车比较小适合女生第一次骑，操作很简单拿车的店离我有20公里...但是还是上门去拿车比较好..有什么不懂的可以直接问。,5,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,收到了，快递12天才到。赶上双十一大促，慢了点。包装完好，掉一点点漆，客服人员给解决了。车子需要解锁限速，联系售后，指导解锁了。售后态度特别好。,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,车子不错，做工可以，网上下单本地提车，就是底盘太低，前挡泥板软塑料走颠簸路有异响，一点波折震动就会反馈单挡泥板上！电机跑到35以上开始有异响，咨询客服说正常，不影响骑行去售后估计也没用！总体可以，网上比实体店便宜几百块，但是不是从门店花钱买再联保人家也不愿意鸟你！,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,好看，实体店老板和师傅服务很好！,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,非常好,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,发货很快，直接去门店提也很方便，和店里看的一模一样还便宜了不少，老婆很喜欢?,5,258
2019-11-07,星球灰,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,发货很快，直接去门店提也很方便，和店里看的一模一样还便宜了不少，其他的后期看看其他方面,5,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,新车还没到手就发现有划痕，虽然刮痕面积不大，但是体验不好,4,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,非常棒！老婆很喜欢。谢谢送的礼品。,5,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,电动车很不错，我很满意呢，好评,5,258
2019-11-07,雪山白,33195131668,绿源电动轻便摩托车 电动车电瓶车 男女通用  超长续航 钢丝轮胎 陶瓷刹车  MHE 雪山白（贝壳尾箱）,绿源,https://item.jd.com/33195131668.html,太喜欢了三天就到货了稍稍有些小磨损客服马上给解决这边的门店服务也很好很满意,5,258
