add_date,auction_sku,avg_rate,cms_source,rate_content,rate_date,reserve_rice,shop_list,shop_title,store_name,topic
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,很好，谢谢安装师傅大雨天的天跑过来送货，真的辛苦了,2019-09-16 16:55:09,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,泸州市优旺日日顺物流公司非常感谢 陈彪师傅安装非常非常感谢,2019-09-22 14:26:50,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,很完美,2019-09-12 17:53:57,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,师傅上门服务态度好；安装速度快！电动车很好，物流很快,2019-09-11 16:34:12,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,送货上门服务态度好,2019-09-10 13:14:44,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,物流送货快 及时 服务态度好 垃圾都一起收走了 电动车外表美观大方时尚,2019-09-11 19:10:47,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,还好，一般,2019-09-07 18:15:51,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,买来接孩子放学用的，试了一下，很轻巧不会笨重，主要是大品牌还是放心的！,2019-10-14 11:10:13,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:白色20A+全国联保+(领券下单立减400元）,4.9,天猫,收到货了，挺好的！,2019-10-14 13:33:05,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
2019-10-17,电压:60V;颜色分类:金属银红20A+全国联保+(领券下单立减400元）,4.9,天猫,车子质量很好，物流也快，大牌子售后有保障,2019-10-14 15:03:48,7999.00,"['证书编号：2019011102176763', '证书状态：有效', '产品名称：电动两轮轻便摩托车', '3C规格型号：YD600DQT-B', '产品名称：Yadea/雅迪 米彩', '品牌:Yadea/雅迪', '型号:米彩', '产地:中国大陆', '适用性别:通用', '颜色分类:蓝色白色金属银红20A+全国联保+(领券下单立减400元）白色20A+全国联保+(领券下单立减400元）蓝色20A+全国联保+(领券下单立减400元）金属银红', '电压:60V', '最高时速:50km/h(不含）-70km/h（含）', '尺寸:1765x685x1040mm', '最大功率:0.6KW']",雅迪电动电车电瓶车米彩轻便电动摩托车电动车成人男女代步车电动,雅迪苏鲜生专卖店,雅迪
