add_time,applyTime,weike_wid,wid
2020-04-29,1587667880000,1736273765,1746512666
2020-04-29,1587653460000,1736273765,1871362681
2020-04-29,1587520125000,1736273765,1748232813
2020-04-29,1584844164000,1746276084,1811421596
2020-04-29,1587043020000,1751114862,1857831736
2020-04-29,1583366356000,1741329651,1734177608
2020-04-29,1585612393000,1749894084,1826034505
2020-04-29,1585029546000,1746924040,1814390893
2020-04-29,1586415115000,1740288518,1845459732
2020-04-29,1586222954000,1740288518,1839057536
2020-04-29,1585374505000,1745823364,1821709889
2020-04-29,1585210991000,1745823364,1748377775
2020-04-29,1584975896000,1745823364,1736857660
2020-04-29,1584975376000,1745823364,1813744231
2020-04-29,1584018035000,1745823364,1745313545
2020-04-29,1587466250000,1751633706,1864889269
2020-04-29,1587464808000,1751633706,1736887020
2020-04-29,1585912710000,1751633706,1749296702
2020-04-29,1585911118000,1751633706,1743534636
2020-04-29,1585911116000,1751633706,1742822868
2020-04-29,1585114191000,1751633706,1747239249
2020-04-29,1585113841000,1751633706,1737104268
2020-04-29,1584277066000,1751633706,1748372723
2020-04-29,1583560985000,1751633706,1742406246
2020-04-29,1586875300000,1744561744,1853610464
2020-04-29,1587910228000,1748918653,1875688804
2020-04-29,1587878449000,1748918653,1875041558
2020-04-29,1587804900000,1748918653,1873756088
2020-04-29,1587804829000,1748918653,1873744970
2020-04-29,1587803872000,1748918653,1873731805
2020-04-29,1587803269000,1748918653,1873717956
2020-04-29,1587800265000,1748918653,1873670349
2020-04-29,1587785723000,1748918653,1873388775
2020-04-29,1587785682000,1748918653,1873392666
2020-04-29,1587776904000,1748918653,1873242049
2020-04-29,1587741303000,1748918653,1873093771
2020-04-29,1587738800000,1748918653,1873065830
2020-04-29,1587737492000,1748918653,1873061308
2020-04-29,1587733132000,1748918653,1872957576
2020-04-29,1587733035000,1748918653,1872966016
2020-04-29,1585724521000,1750037193,1828202947
2020-04-29,1585288709000,1750037193,1738114204
2020-04-29,1585553322000,1745770731,1823947664
2020-04-29,1585908013000,1749878722,1835055146
2020-04-29,1585653860000,1749878722,1826944326
2020-04-29,1585614334000,1749878722,1826048204
2020-04-29,1585485086000,1749878722,1822893271
2020-04-29,1585355714000,1749878722,1741741291
2020-04-29,1584793383000,1741848461,1811164502
2020-04-29,1586436867000,1741246024,1846075108
2020-04-29,1585825565000,1743165510,1748395306
2020-04-29,1588135732000,1740349456,1879617911
2020-04-29,1588060968000,1740349456,1878268388
2020-04-29,1588053503000,1740349456,1877986746
2020-04-29,1587780602000,1740349456,1873281906
2020-04-29,1585980930000,1740349456,1740218401
2020-04-29,1584683937000,1740349456,1805561369
2020-04-29,1583999612000,1740349456,1742912238
2020-04-29,1583973475000,1740349456,1749140029
2020-04-29,1585887901000,1735660682,1833698421
2020-04-29,1584675010000,1746359938,1740071091
2020-04-29,1585245350000,1740479013,1748955761
2020-04-29,1585233760000,1740479013,1818479403
2020-04-29,1585230487000,1740479013,1750770961
2020-04-29,1585229310000,1740479013,1739205703
2020-04-29,1584950729000,1795075182,1813261136
2020-04-29,1586496950000,1734600330,1846562874
2020-04-29,1583562920000,1734600330,1746138810
2020-04-29,1587022530000,1734588887,1857112742
2020-04-29,1587000235000,1734588887,1856201408
2020-04-29,1586999850000,1734588887,1856197042
2020-04-29,1586997733000,1734588887,1856168546
2020-04-29,1586956708000,1734588887,1855849683
2020-04-29,1586919944000,1734588887,1854650669
