add_time,avaliableStockNum,defaultImageUrl,goodsId,isAllStockEmpty,isCanSell,isExistEmptyStock,isMultiSku,isPreSell,isPutAway,maxPrice,minPrice,putAwayDate,salesNum,sellModelType,sortNum,title
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/1da0d4e3d5c945288cac8c834e7d1fee.jpg,1209780370189,True,True,True,0,,1,3799.0,3799.0,1586423388000,0,,0,沭阳专属 R3
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/ac94084eb0bc476ab266ff462301d13c.jpg,1209769890189,True,True,True,0,,1,3299.0,3299.0,1586423391000,0,,0,沭阳专属 R1
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/4cfffd4a878b47e48ffb1ce0818e486b.jpg,1209768910189,True,True,True,0,,1,3399.0,3399.0,1586423394000,0,,0,沭阳专属  酷雷
2020-04-28,2700,https://image-c.weimobwmc.com/saas-wxbiz/0f6c6d5af14a4b5f8f7a9c86df56a616.jpg,1209768710189,False,True,False,1,,1,2999.0,99.0,1586423397000,0,,0,速迅电轻摩 48V20AH 以旧换新 定金抢购
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/e2b95c527260480aaa3a2e95d7501a10.jpg,1209759800189,True,True,True,0,,1,2999.0,2999.0,1586423400000,0,,0,沭阳专属  尚途
2020-04-28,1500,https://image-c.weimobwmc.com/saas-wxbiz/4b701c42aec84c858e435329f1a9ff48.jpg,1209764730189,False,True,False,1,,1,2599.0,99.0,1586423403000,0,,0,尚纳 48V20AH 以旧换新 定金抢购
2020-04-28,36000,https://image-c.weimobwmc.com/saas-wxbiz/638180e505e54c689bb81daae056ed3c.jpg,1209759540189,False,True,False,1,,1,2499.0,99.0,1586423407000,0,,0,速威48V20AH   以旧换新 定金抢购
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/3102346965484b8590b923826dc40864.jpg,1209768160189,True,True,True,0,,1,2599.0,2599.0,1586423410000,0,,0,沭阳专属   尚可
2020-04-28,20,https://image-c.weimobwmc.com/saas-wxbiz/74c8c84998a04f4ba736a5e2de661d18.jpg,1209768020189,False,True,False,0,,1,1999.0,1999.0,1586423414000,0,,0,沭阳专属  小金鼠
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/43c161c32d0c418e88e8bbcf43a69560.jpg,1209759030189,True,True,True,0,,1,2299.0,2299.0,1586423429000,0,,0,沭阳专属    小王子轻摩
2020-04-28,0,https://image-c.weimobwmc.com/saas-wxbiz/64c358ae51374ede993af20a4dbbb1d3.jpg,1209758730189,True,True,True,0,,1,1999.0,1999.0,1586423425000,0,,0,沭阳专属  小王子
2020-04-28,5000,https://image-c.weimobwmc.com/saas-wxbiz/44484e25ac504015b7aa178bc6b3600c.jpg,1209749400189,False,True,False,1,,0,3499.0,3499.0,1586585572000,0,,0,【欧雅锂电新国标尾箱版（广东版）】精致格调大灯 亮丽仪表  锂电48V15AH
2020-04-28,6000,https://image-c.weimobwmc.com/saas-wxbiz/e03f5fdcc5e344ab82a219cc82cfa8c9.jpg,1209412080189,False,True,False,1,,0,3590.0,3590.0,1586573448000,0,,0,【欧格锂电标准版】遇见出行新美好 锂电48V20AH
2020-04-28,599,https://image-c.weimobwmc.com/saas-wxbiz/c22113e9ceb24a0b8b1aa1ceac2384d4.jpg,1209003140189,False,False,False,1,,1,3999.0,3999.0,1586423437000,1,,0,以旧换新 雅迪电动车 E2 （旧车电池48V20AH以上）
2020-04-28,6999,https://image-c.weimobwmc.com/saas-wxbiz/ce28acb79b874410b9b27d694aeee74d.jpg,1209001460189,False,True,False,1,,1,3599.0,3599.0,1586423441000,0,,0,以旧换新 雅迪电动车 M6劲远版 （旧车电池48V20AH以上）
2020-04-28,6000,https://image-c.weimobwmc.com/saas-wxbiz/cfe8513c6ab64724a9746400f439fccd.jpg,1209007140189,False,True,False,1,,1,3699.0,3699.0,1586423445000,0,,0,以旧换新 雅迪电动车 E3 （旧车电池48V20AH以上）
2020-04-28,3000,https://image-c.weimobwmc.com/saas-wxbiz/0405842bc5a0491d83557eda98fd3adf.jpg,1209001160189,False,True,False,1,,1,3699.0,3699.0,1586423450000,0,,0,以旧换新 雅迪电动车 莱客（旧车电池48V20AH以上）
2020-04-28,4000,https://image-c.weimobwmc.com/saas-wxbiz/7a07bce7b8424c3cb7e2fd1ddd1070b1.jpg,1208999850189,False,True,False,1,,1,3799.0,3799.0,1586423452000,0,,0,以旧换新 雅迪电动车 E6劲远版（旧车电池48V20AH以上）
2020-04-28,5000,https://image-c.weimobwmc.com/saas-wxbiz/dbe3c7d16e4b403a91649c1b5544af82.jpg,1208975180189,False,False,False,1,,1,5899.0,5899.0,1586423460000,0,,0,以旧换新 雅迪电动车G5石墨烯版（旧车电池48V20AH以上）
2020-04-28,2000,https://image-c.weimobwmc.com/saas-wxbiz/f1898f92b31c4f448dd78f7c43db3898.jpg,1208959980189,False,True,False,1,,1,3399.0,3399.0,1586423464000,0,,0,以旧换新 雅迪电动车 锐越（旧车电池48V20AH以上）
2020-04-28,5000,https://image-c.weimobwmc.com/saas-wxbiz/428ee241cf0d4106816df972f374a3c4.jpg,1208962090189,False,False,False,1,,1,2899.0,2899.0,1586423467000,0,,0,以旧换新 雅迪电动车 锐战（旧车电池48V20AH以上）
